shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20064,39.775584,-86.152324,10001
20064,39.775373,-86.152332,10002
20064,39.773981,-86.152386,10003
20064,39.773525,-86.152404,10004
20064,39.773525,-86.152404,20001
20064,39.773281,-86.152414,20002
20064,39.772578,-86.152441,20003
20064,39.772191,-86.152456,20004
20064,39.772191,-86.152456,30001
20064,39.771177,-86.152495,30002
20064,39.769780,-86.152549,30003
20064,39.769787,-86.152896,30004
20064,39.769787,-86.152896,40001
20064,39.769794,-86.153204,40002
20064,39.769801,-86.153456,40003
20064,39.769805,-86.153702,40004
20064,39.769822,-86.154360,40005
20064,39.769842,-86.155275,40006
20064,39.769855,-86.155890,40007
20064,39.769855,-86.155890,50001
20064,39.769861,-86.156175,50002
20064,39.769900,-86.157677,50003
20092,39.775584,-86.152324,10001
20092,39.775373,-86.152332,10002
20092,39.773981,-86.152386,10003
20092,39.773525,-86.152404,10004
20092,39.773525,-86.152404,20001
20092,39.773281,-86.152414,20002
20092,39.772578,-86.152441,20003
20092,39.772191,-86.152456,20004
20092,39.772191,-86.152456,30001
20092,39.771177,-86.152495,30002
20092,39.769780,-86.152549,30003
20092,39.769787,-86.152896,30004
20092,39.769787,-86.152896,40001
20092,39.769794,-86.153204,40002
20092,39.769801,-86.153456,40003
20092,39.769805,-86.153702,40004
20092,39.769822,-86.154360,40005
20092,39.769842,-86.155275,40006
20092,39.769855,-86.155890,40007
20092,39.769855,-86.155890,50001
20092,39.769861,-86.156175,50002
20092,39.769900,-86.157677,50003
20092,39.769900,-86.157677,60001
20092,39.769908,-86.157989,60002
20092,39.769920,-86.158680,60003
20092,39.769920,-86.158680,70001
20092,39.769923,-86.158893,70002
20092,39.769930,-86.159185,70003
20092,39.769944,-86.159797,70004
20092,39.769952,-86.159964,70005
20092,39.769983,-86.161604,70006
20092,39.769286,-86.161635,70007
20092,39.768907,-86.161650,70008
20092,39.768907,-86.161650,80001
20092,39.768588,-86.161662,80002
20092,39.767891,-86.161693,80003
20092,39.767149,-86.161719,80004
20092,39.765708,-86.161773,80005
20092,39.765666,-86.159944,80006
20092,39.765627,-86.158144,80007
20092,39.765606,-86.157237,80008
20092,39.765593,-86.156675,80009
20092,39.765593,-86.156675,90001
20092,39.765586,-86.156329,90002
20092,39.765558,-86.155123,90003
20092,39.765544,-86.154518,90004
20092,39.765810,-86.154510,90005
20092,39.766244,-86.154495,90006
20092,39.766985,-86.154468,90007
20092,39.767727,-86.154441,90008
20092,39.768424,-86.154414,90009
20092,39.768718,-86.154403,90010
20092,39.768718,-86.154403,100001
20092,39.769127,-86.154387,100002
20092,39.769822,-86.154360,100003
20092,39.770522,-86.154333,100004
20092,39.771031,-86.154313,100005
20092,39.771031,-86.154313,110001
20092,39.771219,-86.154306,110002
20092,39.771444,-86.154297,110003
20092,39.771917,-86.154279,110004
20092,39.772372,-86.154261,110005
20092,39.772372,-86.154261,120001
20092,39.772619,-86.154252,120002
20092,39.773320,-86.154225,120003
20092,39.773627,-86.154213,120004
20092,39.773735,-86.154208,120005
20092,39.773735,-86.154208,130001
20092,39.774017,-86.154198,130002
20092,39.774717,-86.154171,130003
20092,39.775412,-86.154143,130004
20092,39.775391,-86.153236,130005
