route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
19-59,1602-Saturday-1-1602-0000010-,1064644,"Shadeland/75th via 52nd",1,140812,190192
19-59,1602-Saturday-1-1602-0000010-,1064645,"Shadeland/75th via 52nd",1,140812,190192
19-59,1602-Saturday-1-1602-0000010-,1064646,"Shadeland/75th via 46th",1,140813,190191
19-59,1602-Saturday-1-1602-0000010-,1064647,"Shadeland/75th via 46th",1,140814,190191
50-59,1602-Saturday-1-1602-0000010-,1064648,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064649,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064650,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064651,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064652,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064653,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064654,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064655,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064656,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064657,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064658,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064659,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064660,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064661,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064662,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064663,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064664,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064665,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064666,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064667,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064668,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064669,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064670,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064671,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064672,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064673,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064674,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064675,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064676,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064677,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064678,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064679,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064680,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064681,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064682,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064683,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064684,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064685,"IUPUI Downtown Circulator",0,140771,500013
50-59,1602-Saturday-1-1602-0000010-,1064686,"IUPUI Downtown Circulator",0,140770,500013
50-59,1602-Saturday-1-1602-0000010-,1064687,"IUPUI Downtown Circulator",0,140771,500013
