stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10004,10004,"Mitthoefer Rd & John Marshall Dr N",,  39.822312, -85.990967,,,0,
10005,10005,"38th St & Mitthoefer Rd",,  39.826339, -85.992033,,,0,
10006,10006,"38th St & Strathmore Dr",,  39.826270, -85.995080,,,0,
10008,10008,"38th St & Parliament Ln",,  39.826215, -86.000684,,,0,
10009,10009,"38th St & Wittfield St",,  39.826164, -86.005035,,,0,
10011,10011,"38th St & Post Rd",,  39.826150, -86.008129,,,0,
10012,10012,"38th St & Post Rd - Northeastwood",,  39.826144, -86.011924,,,0,
10013,10013,"38th St & Biscayne Rd",,  39.826100, -86.013626,,,0,
10015,10015,"38th St & Marseille Rd",,  39.826047, -86.017834,,,0,
10016,10016,"38th St & Alsace Pl",,  39.826060, -86.019899,,,0,
10017,10017,"38th St & Harvest Ave",,  39.826022, -86.022174,,,0,
10019,10019,"Mitthoefer Rd - 3900 N",,  39.826893, -85.990992,,,0,
10020,10020,"Mitthoefer Rd & Catalina Dr",,  39.828884, -85.991066,,,0,
10021,10021,"Mitthoefer Rd & Montery Rd",,  39.830706, -85.991089,,,0,
10022,10022,"Mitthoefer Rd & Ellis Dr",,  39.832529, -85.991115,,,0,
10023,10023,"42nd St & Mitthoefer Rd",,  39.833702, -85.992014,,,0,
10024,10024,"42nd St & Burrwood Dr",,  39.833615, -85.997255,,,0,
10025,10025,"42nd St & Baker Dr",,  39.833552, -85.999203,,,0,
10026,10026,"42nd St & Stouffer Ln",,  39.833523, -86.001631,,,0,
10027,10027,"42nd St & Cordell St",,  39.833504, -86.003533,,,0,
10028,10028,"42nd St & Wittfield St",,  39.833484, -86.004608,,,0,
10029,10029,"42nd St & Torino Ct",,  39.833473, -86.008468,,,0,
10030,10030,"42nd St & Post Rd",,  39.833464, -86.009621,,,0,
10032,10032,"42nd St & Rue Lemans",,  39.833375, -86.013616,,,0,
10033,10033,"42nd St & Private Dr",,  39.833374, -86.016073,,,0,
10035,10035,"42nd St & Aspen Way",,  39.833357, -86.019712,,,0,
10037,10037,"42nd St & Arborcrest Dr",,  39.833328, -86.023024,,,0,
10038,10038,"Franklin Rd & 42nd St",,  39.832664, -86.027151,,,0,
10039,10039,"Franklin Rd & Crossbridge Dr",,  39.828187, -86.027095,,,0,
10041,10041,"38th St & Franklin Rd",,  39.825876, -86.027674,,,0,
10043,10043,"38th St & Richardt St",,  39.825811, -86.036137,,,0,
10045,10045,"38th St & Kercheval Dr",,  39.825829, -86.040000,,,0,
10046,10046,"38th St & Elmhurst Dr",,  39.825839, -86.043034,,,0,
10047,10047,"38th St & Shadeland Rd",,  39.825833, -86.045519,,,0,
10048,10048,"38th St & Massachusetts Ave",,  39.825782, -86.048669,,,0,
10049,10049,"38th St & Elizabeth St",,  39.825806, -86.052273,,,0,
10050,10050,"38th St & Sheridan Ave",,  39.825594, -86.059784,,,0,
10051,10051,"38th St - Value City",,  39.825569, -86.062999,,,0,
10052,10052,"38th St & Arlington Ave",,  39.825610, -86.065548,,,0,
10053,10053,"38th St & Graham Ave",,  39.825501, -86.069098,,,0,
10055,10055,"38th St & Lesley Ave",,  39.825493, -86.072273,,,0,
10056,10056,"38th St & Layman Ave",,  39.825495, -86.073395,,,0,
10057,10057,"38th St & Whittier Pl",,  39.825496, -86.075307,,,0,
10058,10058,"38th St & Irvington Ave",,  39.825505, -86.076667,,,0,
10060,10060,"38th St & Butler Ave",,  39.825534, -86.080131,,,0,
10062,10062,"38th St & Emerson Ave",,  39.825579, -86.083532,,,0,
10063,10063,"38th St & Riley Ave",,  39.825556, -86.086341,,,0,
10064,10064,"38th St & Dequincy St",,  39.825551, -86.087665,,,0,
10066,10066,"38th St & Arthington Blvd",,  39.825535, -86.090549,,,0,
